rms,zcr,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,spectral_contrast,chroma_mean,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,silence_ratio,spectral_entropy,reverb_tail_ratio,energy_decay_slope,background_consistency,breath_event_count,breath_duration_mean,breath_duration_std,breath_interval_mean,breath_interval_std,breathing_cadence_score,filepath,filename,category,subtype,sample_rate,duration,status,label
0.109957226,0.3338836185515873,3168.345402248784,1589.2173605027087,4680.431547619048,0.052759256,18.763313053351663,0.35975426,-97.9674,16.773226,-1.9094273,35.914944,-67.666336,19.2297,-15.110914,-10.998478,4.943704,-11.676186,-8.828209,6.1656804,-3.900003,0.0,7.2161736,0.2003001678770792,0.0566791245190228,0.2787417581549022,6.0,0.0933333333333333,0.1110115109146594,0.3872,0.1369472891297962,0.7387236527903593,fake_voice_fake_bg_wf_2s\balanced\0000__LJ001-0006_generated__X__fake_bg_0035_jl096EJv57oXuZzsPimM.wav,0000__LJ001-0006_generated__X__fake_bg_0035_jl096EJv57oXuZzsPimM.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid,fake
0.17644572,0.5180896577380952,4539.297022686424,2038.1804818444043,6724.702380952381,0.10940765,19.533293200052288,0.39716223,-76.353516,-49.810734,40.547176,-0.23185094,-31.834444,-6.646571,-20.568651,-12.171563,-0.9733804,-20.663805,-19.224375,11.824844,-18.076805,0.0,7.557409,0.147708250108579,0.0309648286270838,0.2141727058484386,5.0,0.1216,0.0559771381905148,0.446,0.2349723387975699,0.6549458393890595,fake_voice_fake_bg_wf_2s\balanced\0001__LJ002-0328_generated__X__fake_bg_0009_4BqVnv2GjJ7rL8AzPdpu.wav,0001__LJ002-0328_generated__X__fake_bg_0009_4BqVnv2GjJ7rL8AzPdpu.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid,fake
0.19081739,0.0997023809523809,1500.8921656455905,1578.63509063334,2998.015873015873,0.0140346475,17.433782520959735,0.46998665,-58.75284,122.96158,-25.317753,18.409475,9.727221,20.510996,6.1078835,-1.5647966,3.057227,4.186515,6.08176,-3.3217752,11.386534,0.0,5.3311872,0.2289033741177433,0.0349748951773488,0.3407709337587107,5.0,0.112,0.0796793574271278,0.446,0.2260176984220483,0.6636729971262313,fake_voice_fake_bg_wf_2s\balanced\0002__LJ004-0242_generated__X__fake_bg_0248_vFNkKX0ARE4VYfDULxGu.wav,0002__LJ004-0242_generated__X__fake_bg_0248_vFNkKX0ARE4VYfDULxGu.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid,fake
0.112912275,0.2463882688492063,2459.2908547119723,1785.95336389446,4513.020833333333,0.1063524,17.73435125521512,0.5314234,-26.775871,54.604412,-46.533264,10.184281,-1.8875055,8.172981,-12.834981,4.802875,-9.571911,2.0534399,-4.0032887,10.877548,4.39436,0.0,7.6330085,0.2692011662789435,0.0155489124735379,0.2290538002500721,6.0,0.0986666666666666,0.0934855900957765,0.3168,0.1723698349479978,0.6476278327115476,fake_voice_fake_bg_wf_2s\balanced\0003__LJ003-0315_generated__X__fake_bg_0716_kZpNhiFyRUefA08l43ws.wav,0003__LJ003-0315_generated__X__fake_bg_0716_kZpNhiFyRUefA08l43ws.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid,fake
0.16549143,0.1162574404761904,1674.4119957632338,1730.8975463019865,3472.718253968254,0.032207135,17.01139197729703,0.44277567,-41.734135,105.37929,-7.0561604,26.3615,-0.040540088,5.9279194,-5.787599,4.6441784,6.166781,5.592153,11.359243,-5.7750745,2.9759657,0.0,5.986946,0.2697824923726548,0.0064065933868448,0.3382100834346286,8.0,0.074,0.0264575131106459,0.2228571428571428,0.0905529498950414,0.7110720045070485,fake_voice_fake_bg_wf_2s\balanced\0004__LJ004-0218_generated__X__fake_bg_0376_9emNqMkCLXV5d0gJ7vPS.wav,0004__LJ004-0218_generated__X__fake_bg_0376_9emNqMkCLXV5d0gJ7vPS.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid,fake
0.16028762,0.2234080481150793,2516.874149831222,2050.8215044824906,5108.75496031746,0.17341477,15.984850364813491,0.58696187,23.620155,51.307392,-22.187712,-6.8548293,-17.871296,-5.6031685,-11.042297,-5.0956783,-15.337894,-5.729575,-7.6225324,-0.10427717,-5.6134877,0.0,7.765616,0.2059326923010849,0.0326472782685825,0.1714626365564353,6.0,0.0986666666666666,0.0892835682281771,0.3968,0.4086301016812149,0.4926560346111645,fake_voice_fake_bg_wf_2s\balanced\0006__LJ001-0066_generated__X__fake_bg_0495_POfCIiZ4acDjd0Hl3E8U.wav,0006__LJ001-0066_generated__X__fake_bg_0495_POfCIiZ4acDjd0Hl3E8U.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid,fake
0.19661222,0.1196986607142857,1498.7687971024684,1505.656996563708,2976.438492063492,0.02279574,17.906899155589127,0.3753228,-37.399506,129.4527,-15.3382225,23.05382,-3.523555,10.704669,-1.4953598,-0.4460441,-1.8444927,-0.6730219,2.9745412,7.851097,3.967657,0.0,6.060398,0.1423642867878296,-0.0420994176293298,0.2251535087446508,9.0,0.064,0.0292118697336088,0.225,0.1089908253019491,0.6736711998876569,fake_voice_fake_bg_wf_2s\balanced\0007__LJ004-0128_generated__X__fake_bg_0684_W9j8ftxwsGen0NrgpXHc.wav,0007__LJ004-0128_generated__X__fake_bg_0684_W9j8ftxwsGen0NrgpXHc.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid,fake
0.08831858,0.2144484747023809,2459.744740176856,1767.0926957018016,4441.220238095239,0.03311863,19.82136750078548,0.35985214,-201.08548,59.15693,9.58582,21.39938,-23.762926,-30.538424,-24.00701,-0.78523475,-11.956364,-20.23916,-2.4863992,-5.625151,-5.318449,0.0317460317460317,5.772393,0.0569153087265056,-0.1127350689720265,0.929415688795162,7.0,0.0822857142857143,0.028912252892968,0.2333333333333333,0.0639027038203826,0.7850102416557373,fake_voice_fake_bg_wf_2s\balanced\0011__LJ001-0120_generated__X__fake_bg_0368_WfeUyJEIpuNkg3BVM09A.wav,0011__LJ001-0120_generated__X__fake_bg_0368_WfeUyJEIpuNkg3BVM09A.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid,fake
0.17242545,0.1343393477182539,2070.168074385612,2052.5696252464936,4346.354166666667,0.073134236,15.716489917289536,0.45173928,-8.990341,82.75996,9.622525,15.671518,-1.6460012,2.0842142,-0.35308415,-5.3503985,-4.6430316,-1.5177178,-9.713844,-7.558023,-4.8075776,0.0,6.288537,0.2903339116671679,-0.0016686860500576,0.2180797252157228,6.0,0.0986666666666666,0.0934855900957765,0.3488,0.1786419883454056,0.661304954366756,fake_voice_fake_bg_wf_2s\balanced\0012__LJ004-0037_generated__X__fake_bg_0316_BQdkHnNDEfvOJhijglAX.wav,0012__LJ004-0037_generated__X__fake_bg_0316_BQdkHnNDEfvOJhijglAX.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid,fake
0.13490371,0.1472516741071428,1774.2657440854875,1651.8494276563283,3303.8194444444443,0.021891573,19.563123645171075,0.3063618,-84.643265,109.40059,-0.2995855,-2.9804094,-16.249056,-4.430763,-17.861803,-2.4654555,-9.416031,0.53695405,-6.409472,1.4196292,-2.8443203,0.0,5.8014636,0.1549558928483774,-0.0546008886371706,0.449345647862273,6.0,0.096,0.0886039878711261,0.3584,0.1523280670132723,0.7017433017255968,fake_voice_fake_bg_wf_2s\balanced\0013__LJ003-0140_generated__X__fake_bg_0321_zRqT8xm3MVlZ5od4ayOU.wav,0013__LJ003-0140_generated__X__fake_bg_0321_zRqT8xm3MVlZ5od4ayOU.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid,fake
